title,mood,genre,year
La La Land,romantic,Musical,2016
The Notebook,romantic,Drama,2004
Inside Out,sad,Animation,2015
The Pursuit of Happyness,motivated,Biography,2006
Frozen,happy,Animation,2013
Avengers: Endgame,excited,Action,2019
Zootopia,happy,Animation,2016
Joker,angry,Drama,2019
Soul,relaxed,Animation,2020
Interstellar,inspired,Sci-Fi,2014
The Shining,fearful,Horror,1980
The Big Lebowski,bored,Comedy,1998
Paddington,happy,Family,2014
Manchester by the Sea,sad,Drama,2016
500 Days of Summer,romantic,Romance,2009
Coach Carter,motivated,Biography,2005
Edge of Tomorrow,motivated,Sci-Fi,2014
Eternal Sunshine of the Spotless Mind,romantic,Drama,2004
Rocky,motivated,Sport,1976
Gravity,motivated,Sci-Fi,2013
Midsommar,sad,Horror,2019
Office Space,bored,Comedy,1999

